point num,ROS -> PCL2 (XYZRGB/XYZ),ROS -> PCL2 (XYZRGB/XYZRGB),ROS -> PCL2 (XYZRGBNORMAL/XYZ),ROS -> PCL2 (XYZRGBNORMAL/XYZRGB),ROS -> PCL2 (XYZRGBNORMAL/XYZNORMAL),ROS -> PCL2 (XYZRGBNORMAL/NORMAL),ROS -> PCL2 (XYZRGBNORMAL/XYZRGBNORMAL),PCL2 -> PCL (XYZRGB/XYZ),PCL2 -> PCL (XYZRGB/XYZRGB),PCL2 -> PCL (XYZRGBNORMAL/XYZ),PCL2 -> PCL (XYZRGBNORMAL/XYZRGB),PCL2 -> PCL (XYZRGBNORMAL/XYZNORMAL),PCL2 -> PCL (XYZRGBNORMAL/NORMAL),PCL2 -> PCL (XYZRGBNORMAL/XYZRGBNORMAL),PCL -> PCL2 (XYZRGB/XYZ),PCL -> PCL2 (XYZRGB/XYZRGB),PCL -> PCL2 (XYZRGBNORMAL/XYZ),PCL -> PCL2 (XYZRGBNORMAL/XYZRGB),PCL -> PCL2 (XYZRGBNORMAL/XYZNORMAL),PCL -> PCL2 (XYZRGBNORMAL/NORMAL),PCL -> PCL2 (XYZRGBNORMAL/XYZRGBNORMAL),PCL2 -> ROS (XYZRGB/XYZ),PCL2 -> ROS (XYZRGB/XYZRGB),PCL2 -> ROS (XYZRGBNORMAL/XYZ),PCL2 -> ROS (XYZRGBNORMAL/XYZRGB),PCL2 -> ROS (XYZRGBNORMAL/XYZNORMAL),PCL2 -> ROS (XYZRGBNORMAL/NORMAL),PCL2 -> ROS (XYZRGBNORMAL/XYZRGBNORMAL),ROS -> PCL (XYZRGB/XYZ),ROS -> PCL (XYZRGB/XYZRGB),ROS -> PCL (XYZRGBNORMAL/XYZ),ROS -> PCL (XYZRGBNORMAL/XYZRGB),ROS -> PCL (XYZRGBNORMAL/XYZNORMAL),ROS -> PCL (XYZRGBNORMAL/NORMAL),ROS -> PCL (XYZRGBNORMAL/XYZRGBNORMAL),PCL -> ROS (XYZRGB/XYZ),PCL -> ROS (XYZRGB/XYZRGB),PCL -> ROS (XYZRGBNORMAL/XYZ),PCL -> ROS (XYZRGBNORMAL/XYZRGB),PCL -> ROS (XYZRGBNORMAL/XYZNORMAL),PCL -> ROS (XYZRGBNORMAL/NORMAL),PCL -> ROS (XYZRGBNORMAL/XYZRGBNORMAL)
307200,0.0024,0.0024,0.0035,0.0036,0.0037,0.0036,0.0036,0.0426,0.0068,0.0428,0.0599,0.0599,0.0595,0.0085,0.004,0.0039,0.006,0.0059,0.0059,0.0059,0.0059,0.0023,0.0024,0.0037,0.0036,0.0036,0.0037,0.0036,0.0441,0.0086,0.0455,0.0628,0.0626,0.0625,0.0109,0.0039,0.0039,0.006,0.0059,0.006,0.006,0.0059,
317440,0.0023,0.0025,0.0037,0.0028,0.0029,0.0028,0.0029,0.0423,0.0067,0.042,0.0584,0.0592,0.0591,0.008,0.004,0.0039,0.0061,0.0052,0.0052,0.0052,0.0052,0.0025,0.0025,0.0037,0.0028,0.0028,0.0029,0.0029,0.0441,0.0085,0.0454,0.0618,0.0615,0.0614,0.0107,0.004,0.004,0.0061,0.0052,0.0052,0.0052,0.0052,
327680,0.0026,0.0025,0.0038,0.0031,0.0031,0.0031,0.003,0.0434,0.007,0.0436,0.0631,0.064,0.0636,0.0085,0.004,0.004,0.0063,0.0055,0.0056,0.0055,0.0053,0.0025,0.0026,0.0039,0.003,0.003,0.003,0.003,0.0453,0.0088,0.0491,0.0667,0.0662,0.0663,0.0116,0.004,0.0041,0.0064,0.0055,0.0054,0.0054,0.0055,
337920,0.0027,0.0026,0.0041,0.0032,0.003,0.0031,0.0032,0.0467,0.0074,0.0468,0.065,0.0661,0.0656,0.0088,0.0042,0.0043,0.0066,0.0057,0.0057,0.0056,0.0056,0.0026,0.0027,0.004,0.0031,0.0031,0.0031,0.0031,0.0488,0.0094,0.0505,0.0687,0.0683,0.0684,0.0119,0.0042,0.0043,0.0066,0.0057,0.0056,0.0055,0.0056,
348160,0.0028,0.0028,0.0042,0.0033,0.0032,0.0033,0.0032,0.0481,0.0076,0.0474,0.0643,0.0652,0.0649,0.0092,0.0044,0.0045,0.0068,0.0057,0.0057,0.0057,0.0058,0.0026,0.0027,0.004,0.0032,0.0032,0.0032,0.0032,0.0503,0.0098,0.0502,0.0682,0.0677,0.0683,0.0125,0.0044,0.0044,0.0068,0.0057,0.0058,0.0058,0.0058,
358400,0.0029,0.0029,0.0043,0.0033,0.0034,0.0034,0.0033,0.0494,0.0079,0.0498,0.069,0.0702,0.0695,0.0095,0.0046,0.0045,0.007,0.006,0.006,0.006,0.0059,0.0027,0.0029,0.0043,0.0033,0.0033,0.0033,0.0034,0.0517,0.01,0.0537,0.073,0.0726,0.0727,0.0128,0.0046,0.0046,0.007,0.006,0.0059,0.006,0.006,
368640,0.0031,0.003,0.0044,0.0035,0.0033,0.0035,0.0035,0.0508,0.0081,0.0512,0.0711,0.0722,0.0701,0.0098,0.0047,0.0046,0.0073,0.0063,0.0062,0.0061,0.0061,0.0029,0.003,0.0044,0.0034,0.0034,0.0033,0.0035,0.0534,0.0104,0.0553,0.0753,0.0747,0.0731,0.0132,0.0047,0.0047,0.0072,0.0063,0.0062,0.0062,0.0062,
378880,0.003,0.003,0.0045,0.0036,0.0037,0.0035,0.0036,0.0523,0.0083,0.0528,0.0732,0.0743,0.0737,0.01,0.0048,0.0049,0.0075,0.0063,0.0065,0.0064,0.0064,0.0029,0.003,0.0046,0.0035,0.0035,0.0035,0.0035,0.055,0.0107,0.0569,0.0773,0.0766,0.077,0.0137,0.0048,0.0048,0.0073,0.0064,0.0064,0.0064,0.0063,
389120,0.0032,0.0031,0.0046,0.0036,0.0037,0.0036,0.0038,0.0537,0.0086,0.0542,0.0752,0.0763,0.0757,0.0103,0.0049,0.0048,0.0076,0.0066,0.0066,0.0066,0.0066,0.003,0.0031,0.0048,0.0037,0.0037,0.0036,0.0036,0.0564,0.0111,0.0585,0.0794,0.0788,0.0788,0.0141,0.005,0.0048,0.0076,0.0065,0.0065,0.0066,0.0066,
399360,0.0032,0.0032,0.0048,0.0037,0.0038,0.0049,0.0049,0.0552,0.0088,0.0558,0.0779,0.0784,0.0777,0.0111,0.0051,0.005,0.0079,0.0068,0.0068,0.0078,0.0079,0.003,0.0032,0.0049,0.0037,0.0038,0.0047,0.0048,0.0579,0.0113,0.0594,0.0809,0.0809,0.0818,0.0153,0.005,0.005,0.0079,0.0067,0.0068,0.0079,0.0078,
